STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
AANDN Islands,CAR,2013,0,0,0,0,0,0,0,0,0,0,1,1
AANDN Islands,NORTH,2013,0,4,5,0,0,0,0,0,0,0,6,15
AANDN Islands,SOUTH,2013,0,17,7,1,0,2,0,0,0,0,11,38
AANDN Islands,TOTAL,2013,0,21,12,1,0,2,0,0,0,0,18,54
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2003,1,2,1,0,0,0,0,0,0,0,2,6
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2004,0,8,3,0,0,0,0,0,0,0,2,13
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2005,1,2,2,0,0,2,0,0,0,0,1,8
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2006,0,5,4,0,0,0,0,0,0,0,0,9
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2008,2,8,12,0,0,1,0,0,0,0,24,47
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2009,1,12,10,0,0,0,0,0,0,0,18,41
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2010,1,15,9,3,0,0,0,0,0,0,23,51
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2011,1,9,11,0,0,2,0,0,0,0,8,31
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2007,0,3,7,0,0,0,0,0,0,0,0,10
ANDAMAN AND NICOBAR ISLANDS,CAR,2012,0,0,1,0,0,0,0,0,0,0,1,2
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2003,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2004,1,0,0,0,0,0,0,0,0,0,0,1
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2005,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2006,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2008,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2009,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2010,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2011,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NORTH,2012,1,4,0,0,0,0,0,0,0,0,2,7
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2012,0,6,7,1,0,0,0,0,0,0,5,19
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2003,1,2,1,0,0,0,0,0,0,0,2,6
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2004,1,8,3,0,0,0,0,0,0,0,2,14
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2005,1,2,2,0,0,2,0,0,0,0,1,8
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2006,0,5,4,0,0,0,0,0,0,0,0,9
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2007,0,3,7,0,0,0,0,0,0,0,0,10
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2008,2,8,12,0,0,1,0,0,0,0,24,47
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2009,1,12,10,0,0,0,0,0,0,0,18,41
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2010,1,15,9,3,0,0,0,0,0,0,23,51
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2011,1,9,11,0,0,2,0,0,0,0,8,31
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2012,1,10,8,1,0,0,0,0,0,0,8,28
ANDHRA PRADESH,ADILABAD,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,2001,1,11,2,0,0,0,4,0,0,0,0,18
ANDHRA PRADESH,ADILABAD,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,2003,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,2004,0,4,0,0,0,0,0,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,2005,3,5,0,0,0,0,0,0,0,0,0,8
ANDHRA PRADESH,ADILABAD,2006,3,6,4,0,0,0,0,0,0,3,3,19
ANDHRA PRADESH,ADILABAD,2007,4,2,0,0,0,4,0,0,0,0,0,10
ANDHRA PRADESH,ADILABAD,2008,0,2,0,0,0,0,0,0,0,2,0,4
ANDHRA PRADESH,ADILABAD,2009,5,5,5,3,0,8,0,0,0,0,5,31
ANDHRA PRADESH,ADILABAD,2010,4,2,2,0,0,5,0,0,0,0,0,13
ANDHRA PRADESH,ADILABAD,2011,1,46,49,1,0,0,4,0,0,1,1,103
ANDHRA PRADESH,ADILABAD,2012,1,30,18,0,1,4,0,0,0,1,22,77
ANDHRA PRADESH,ADILABAD,2013,1,21,9,0,0,0,0,0,0,1,1,33
ANDHRA PRADESH,ANANTAPUR,2001,19,12,29,0,6,0,0,0,0,0,0,66
ANDHRA PRADESH,ANANTAPUR,2002,17,18,43,0,11,0,0,0,0,1,0,90
ANDHRA PRADESH,ANANTAPUR,2003,11,11,29,0,0,0,0,0,1,0,2,54
ANDHRA PRADESH,ANANTAPUR,2004,3,14,27,0,0,0,0,0,0,0,0,44
ANDHRA PRADESH,ANANTAPUR,2005,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2006,0,7,3,0,0,0,0,0,3,0,0,13
ANDHRA PRADESH,ANANTAPUR,2007,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTAPUR,2008,1,0,0,0,0,0,0,0,0,0,5,6
ANDHRA PRADESH,ANANTAPUR,2009,0,0,0,0,0,1,2,0,0,0,28,31
ANDHRA PRADESH,ANANTAPUR,2010,0,4,2,0,0,0,0,0,0,0,0,6
ANDHRA PRADESH,ANANTAPUR,2011,0,9,35,0,0,0,0,0,0,0,0,44
ANDHRA PRADESH,ANANTAPUR,2012,7,7,34,0,0,0,0,0,0,0,0,48
ANDHRA PRADESH,ANANTAPUR,2013,1,15,68,0,3,0,0,0,0,0,0,87
ANDHRA PRADESH,CHITTOOR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,2003,8,24,49,0,0,0,0,0,0,0,0,81
ANDHRA PRADESH,CHITTOOR,2004,4,4,9,0,0,0,0,0,0,0,0,17
ANDHRA PRADESH,CHITTOOR,2005,4,18,41,0,0,0,0,0,0,0,0,63
ANDHRA PRADESH,CHITTOOR,2006,3,14,17,0,0,0,0,0,0,0,0,34
ANDHRA PRADESH,CHITTOOR,2007,5,1,2,0,0,0,0,0,0,0,0,8
ANDHRA PRADESH,CHITTOOR,2008,4,9,9,0,0,0,0,0,0,0,0,22
ANDHRA PRADESH,CHITTOOR,2009,4,25,29,0,0,0,0,0,0,0,0,58
ANDHRA PRADESH,CHITTOOR,2010,0,1,4,0,0,0,0,0,0,0,0,5
ANDHRA PRADESH,CHITTOOR,2011,11,12,3,0,0,0,0,0,0,0,0,26
ANDHRA PRADESH,CHITTOOR,2012,6,15,10,0,0,0,0,0,0,0,0,31
ANDHRA PRADESH,CHITTOOR,2013,6,1,0,0,0,0,0,0,0,0,0,7
ANDHRA PRADESH,CUDDAPAH,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,2003,3,9,33,0,0,0,0,0,0,0,0,45
ANDHRA PRADESH,CUDDAPAH,2004,4,8,26,0,1,0,0,0,0,0,0,39
ANDHRA PRADESH,CUDDAPAH,2005,3,15,21,0,0,0,0,0,0,1,0,40
ANDHRA PRADESH,CUDDAPAH,2006,3,17,32,0,1,0,0,0,0,0,0,53
ANDHRA PRADESH,CUDDAPAH,2007,4,22,48,0,1,0,0,0,0,0,0,75
ANDHRA PRADESH,CUDDAPAH,2008,1,22,58,0,0,0,0,0,0,0,0,81
ANDHRA PRADESH,CUDDAPAH,2009,7,22,24,0,0,0,0,0,0,0,0,53
ANDHRA PRADESH,CUDDAPAH,2010,6,26,37,0,0,0,0,0,0,0,0,69
ANDHRA PRADESH,CUDDAPAH,2011,4,31,24,0,0,0,0,0,0,0,0,59
ANDHRA PRADESH,CUDDAPAH,2012,6,20,32,0,0,0,0,0,0,2,0,60
ANDHRA PRADESH,CUDDAPAH,2013,0,14,32,0,0,0,0,0,0,1,0,49
ANDHRA PRADESH,CYBERABAD,2003,0,1,0,0,0,1,0,0,0,0,0,2
ANDHRA PRADESH,CYBERABAD,2004,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CYBERABAD,2005,7,2,3,0,0,0,0,0,0,0,0,12
ANDHRA PRADESH,CYBERABAD,2006,1,6,1,0,1,0,0,0,1,0,1,11
ANDHRA PRADESH,CYBERABAD,2007,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CYBERABAD,2008,0,2,0,0,0,0,0,0,0,1,0,3
ANDHRA PRADESH,CYBERABAD,2009,9,0,2,0,0,2,0,0,0,0,0,13
ANDHRA PRADESH,CYBERABAD,2010,6,11,16,0,1,2,3,0,0,0,0,39
ANDHRA PRADESH,CYBERABAD,2011,5,19,21,0,1,3,20,0,0,0,6,75
ANDHRA PRADESH,CYBERABAD,2012,7,25,24,0,4,0,0,0,0,4,77,141
ANDHRA PRADESH,CYBERABAD,2013,8,45,69,2,0,2,9,0,0,1,19,156
ANDHRA PRADESH,EAST GODAVARI,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,2003,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,2004,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,2005,0,1,1,0,0,0,0,1,0,0,0,3
ANDHRA PRADESH,EAST GODAVARI,2006,0,0,7,0,0,0,0,0,0,0,0,7
ANDHRA PRADESH,EAST GODAVARI,2007,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,2008,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,2009,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,2010,1,12,3,0,0,0,0,0,0,0,0,16
ANDHRA PRADESH,EAST GODAVARI,2011,1,41,17,0,0,0,0,0,0,1,33,93
ANDHRA PRADESH,EAST GODAVARI,2012,5,35,31,0,2,0,3,0,1,2,15,94
ANDHRA PRADESH,EAST GODAVARI,2013,0,4,1,0,0,0,0,0,0,0,20,25
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTAKAL RLY.,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTAKAL RLY.,2003,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTAKAL RLY.,2004,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTAKAL RLY.,2005,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTAKAL RLY.,2006,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTAKAL RLY.,2007,0,0,2,0,0,0,0,0,0,0,0,2
ANDHRA PRADESH,GUNTAKAL RLY.,2008,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTAKAL RLY.,2009,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTAKAL RLY.,2010,0,0,2,0,0,1,0,0,0,0,0,3
ANDHRA PRADESH,GUNTAKAL RLY.,2011,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTAKAL RLY.,2012,1,0,1,0,0,0,0,0,0,0,0,2
ANDHRA PRADESH,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,2003,3,24,30,0,0,0,0,0,0,0,0,57
ANDHRA PRADESH,GUNTUR,2004,1,27,34,0,0,0,0,0,0,0,0,62
ANDHRA PRADESH,GUNTUR,2005,8,33,39,0,0,0,0,8,0,0,1,89
ANDHRA PRADESH,GUNTUR,2006,4,35,35,0,0,0,0,3,0,0,0,77
ANDHRA PRADESH,GUNTUR,2007,6,28,47,0,0,0,0,0,9,0,0,90
ANDHRA PRADESH,GUNTUR,2008,5,26,42,0,1,5,1,1,0,0,3,84
ANDHRA PRADESH,GUNTUR,2009,11,24,36,0,1,16,0,0,0,0,5,93
ANDHRA PRADESH,GUNTUR,2010,3,18,19,0,0,0,1,0,0,0,0,41
ANDHRA PRADESH,GUNTUR,2011,9,20,19,0,0,0,0,0,0,0,0,48
ANDHRA PRADESH,GUNTUR,2012,3,14,44,0,0,0,0,0,0,0,7,68
ANDHRA PRADESH,GUNTUR,2013,9,21,46,0,0,7,0,0,0,0,0,84
ANDHRA PRADESH,GUNTUR URBAN,2010,1,2,5,0,0,4,0,0,0,0,12,24
ANDHRA PRADESH,GUNTUR URBAN,2011,3,21,17,0,0,4,2,0,0,0,9,56
ANDHRA PRADESH,GUNTUR URBAN,2012,2,18,22,0,0,4,0,0,0,1,0,47
ANDHRA PRADESH,GUNTUR URBAN,2013,0,23,24,0,0,3,0,0,0,0,0,50
ANDHRA PRADESH,HYDERABAD CITY,2001,2,0,0,0,0,19,2,0,0,2,0,25
ANDHRA PRADESH,HYDERABAD CITY,2002,0,20,2,0,0,0,0,0,0,1,0,23
ANDHRA PRADESH,HYDERABAD CITY,2003,0,18,3,0,0,34,0,0,0,1,0,56
ANDHRA PRADESH,HYDERABAD CITY,2004,11,27,45,0,0,26,4,0,0,0,0,113
ANDHRA PRADESH,HYDERABAD CITY,2005,5,6,1,0,0,73,9,0,2,1,1,98
ANDHRA PRADESH,HYDERABAD CITY,2006,4,44,40,0,0,58,0,0,1,0,0,147
ANDHRA PRADESH,HYDERABAD CITY,2007,2,12,9,0,0,1,0,0,0,0,37,61
ANDHRA PRADESH,HYDERABAD CITY,2008,0,37,12,0,0,18,0,0,0,1,0,68
ANDHRA PRADESH,HYDERABAD CITY,2009,2,1,2,1,0,15,0,0,0,0,0,21
ANDHRA PRADESH,HYDERABAD CITY,2010,2,15,33,0,2,12,0,0,1,0,21,86
ANDHRA PRADESH,HYDERABAD CITY,2011,1,10,13,5,0,5,0,0,0,1,45,80
ANDHRA PRADESH,HYDERABAD CITY,2012,7,32,25,0,2,4,0,0,0,1,23,94
ANDHRA PRADESH,HYDERABAD CITY,2013,2,21,16,0,1,0,1,0,0,0,11,52
ANDHRA PRADESH,KARIMNAGAR,2001,1,4,0,0,0,3,0,0,0,0,1,9
ANDHRA PRADESH,KARIMNAGAR,2002,0,14,3,0,0,0,0,0,0,0,12,29
ANDHRA PRADESH,KARIMNAGAR,2003,6,57,23,0,0,0,15,0,0,1,408,510
ANDHRA PRADESH,KARIMNAGAR,2004,5,46,31,0,0,0,29,0,0,2,375,488
ANDHRA PRADESH,KARIMNAGAR,2005,3,44,32,0,0,2,0,0,0,4,5,90
ANDHRA PRADESH,KARIMNAGAR,2006,0,44,78,1,0,5,1,0,1,3,11,144
ANDHRA PRADESH,KARIMNAGAR,2007,5,46,95,0,0,5,1,0,1,1,5,159
ANDHRA PRADESH,KARIMNAGAR,2008,9,60,104,0,0,4,0,0,1,1,3,182
ANDHRA PRADESH,KARIMNAGAR,2009,5,29,79,0,0,6,0,0,0,0,0,119
ANDHRA PRADESH,KARIMNAGAR,2010,7,46,103,0,0,0,0,0,1,0,110,267
ANDHRA PRADESH,KARIMNAGAR,2011,4,35,90,0,0,3,0,0,2,0,77,211
ANDHRA PRADESH,KARIMNAGAR,2012,5,22,75,0,0,0,0,0,0,2,94,198
ANDHRA PRADESH,KARIMNAGAR,2013,3,33,84,0,0,0,0,0,0,1,4,126
ANDHRA PRADESH,KHAMMAM,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,2003,5,19,29,0,0,0,0,0,0,0,0,53
ANDHRA PRADESH,KHAMMAM,2004,4,25,30,0,0,0,0,0,0,0,0,59
ANDHRA PRADESH,KHAMMAM,2005,0,9,28,0,0,0,0,0,0,0,0,37
ANDHRA PRADESH,KHAMMAM,2006,4,21,25,0,0,0,0,0,0,0,0,50
ANDHRA PRADESH,KHAMMAM,2007,6,29,28,0,0,0,0,0,0,2,0,65
ANDHRA PRADESH,KHAMMAM,2008,7,29,21,0,0,0,0,0,1,0,0,58
ANDHRA PRADESH,KHAMMAM,2009,1,40,31,0,2,0,0,0,1,0,62,137
ANDHRA PRADESH,KHAMMAM,2010,1,16,6,0,2,0,0,0,0,0,60,85
ANDHRA PRADESH,KHAMMAM,2011,3,42,44,0,2,0,1,0,0,1,18,111
ANDHRA PRADESH,KHAMMAM,2012,4,33,43,0,1,7,0,0,1,0,15,104
ANDHRA PRADESH,KHAMMAM,2013,4,46,83,1,0,0,0,0,0,2,89,226
ANDHRA PRADESH,KRISHNA,2002,4,11,3,0,1,0,3,0,0,0,5,27
ANDHRA PRADESH,KRISHNA,2003,5,25,7,0,0,0,0,0,0,0,11,48
ANDHRA PRADESH,KRISHNA,2004,4,14,3,0,0,0,0,0,0,0,9,30
ANDHRA PRADESH,KRISHNA,2005,1,15,5,0,0,0,0,0,0,0,11,32
ANDHRA PRADESH,KRISHNA,2006,6,20,2,0,0,0,0,0,0,1,3,32
ANDHRA PRADESH,KRISHNA,2007,2,19,22,0,1,0,0,0,1,1,31,77
ANDHRA PRADESH,KRISHNA,2008,1,13,27,0,0,1,0,0,0,0,32,74
ANDHRA PRADESH,KRISHNA,2009,1,22,30,0,0,7,0,0,0,0,56,116
ANDHRA PRADESH,KRISHNA,2010,2,23,30,0,1,0,0,0,0,0,46,102
ANDHRA PRADESH,KRISHNA,2011,3,45,53,0,0,1,0,0,0,2,63,167
ANDHRA PRADESH,KRISHNA,2012,3,42,44,1,0,0,0,0,0,0,66,156
ANDHRA PRADESH,KRISHNA,2013,2,49,35,0,3,0,0,0,0,0,81,170
ANDHRA PRADESH,KURNOOL,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,2002,0,0,0,0,0,0,0,0,0,1,0,1
ANDHRA PRADESH,KURNOOL,2003,0,20,16,0,0,0,0,0,0,0,0,36
ANDHRA PRADESH,KURNOOL,2004,0,22,23,0,0,0,0,0,0,0,0,45
ANDHRA PRADESH,KURNOOL,2005,2,23,22,0,0,1,0,0,0,1,0,49
ANDHRA PRADESH,KURNOOL,2006,0,2,8,0,0,0,0,0,0,2,0,12
ANDHRA PRADESH,KURNOOL,2007,4,23,50,0,0,6,2,0,0,1,0,86
ANDHRA PRADESH,KURNOOL,2008,0,0,0,0,0,3,0,0,0,0,1,4
ANDHRA PRADESH,KURNOOL,2009,2,19,50,0,5,0,0,0,0,0,0,76
ANDHRA PRADESH,KURNOOL,2010,2,25,56,0,0,0,0,0,0,0,1,84
ANDHRA PRADESH,KURNOOL,2011,0,25,42,0,0,8,0,0,0,2,2,79
ANDHRA PRADESH,KURNOOL,2012,1,14,37,0,0,2,0,0,0,1,0,55
ANDHRA PRADESH,KURNOOL,2013,0,15,50,0,0,6,0,0,0,0,27,99
ANDHRA PRADESH,MAHABOOBNAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,2003,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,2004,0,19,15,0,0,0,0,0,0,0,0,34
ANDHRA PRADESH,MAHABOOBNAGAR,2005,0,34,7,0,0,3,0,0,0,0,7,51
ANDHRA PRADESH,MAHABOOBNAGAR,2006,0,11,6,4,1,4,0,0,0,0,6,32
ANDHRA PRADESH,MAHABOOBNAGAR,2007,6,3,5,0,0,0,0,0,0,0,0,14
ANDHRA PRADESH,MAHABOOBNAGAR,2008,3,5,2,0,0,0,0,0,0,0,17,27
ANDHRA PRADESH,MAHABOOBNAGAR,2009,5,48,67,0,0,0,0,0,0,0,13,133
ANDHRA PRADESH,MAHABOOBNAGAR,2010,14,58,62,0,0,0,0,0,0,0,0,134
ANDHRA PRADESH,MAHABOOBNAGAR,2011,15,63,42,0,0,8,23,0,0,0,0,151
ANDHRA PRADESH,MAHABOOBNAGAR,2012,7,45,55,0,0,3,7,0,0,1,0,118
ANDHRA PRADESH,MAHABOOBNAGAR,2013,12,70,35,0,0,2,6,0,0,0,0,125
ANDHRA PRADESH,MEDAK,2001,1,18,12,0,0,0,3,0,0,0,0,34
ANDHRA PRADESH,MEDAK,2002,7,13,10,0,0,0,3,0,0,1,0,34
ANDHRA PRADESH,MEDAK,2003,5,21,12,0,0,0,10,0,0,0,0,48
ANDHRA PRADESH,MEDAK,2004,10,37,8,0,0,0,14,0,0,0,0,69
ANDHRA PRADESH,MEDAK,2005,3,15,0,0,0,0,9,0,0,0,0,27
ANDHRA PRADESH,MEDAK,2006,13,29,18,0,0,0,7,0,0,3,0,70
ANDHRA PRADESH,MEDAK,2007,4,24,9,0,0,0,4,0,0,1,0,42
ANDHRA PRADESH,MEDAK,2008,5,13,9,0,0,0,7,0,0,2,0,36
ANDHRA PRADESH,MEDAK,2009,6,7,0,0,0,0,0,0,0,0,8,21
ANDHRA PRADESH,MEDAK,2010,2,22,0,1,0,16,21,0,0,0,2,64
ANDHRA PRADESH,MEDAK,2011,13,24,3,0,0,8,18,0,0,1,24,91
ANDHRA PRADESH,MEDAK,2012,5,17,16,0,0,11,14,0,0,1,1,65
ANDHRA PRADESH,MEDAK,2013,1,35,11,0,0,2,17,0,0,0,0,66
ANDHRA PRADESH,NALGONDA,2001,0,16,4,0,0,0,0,0,0,0,0,20
ANDHRA PRADESH,NALGONDA,2002,3,20,10,0,0,0,0,0,0,0,0,33
ANDHRA PRADESH,NALGONDA,2003,5,36,28,0,0,0,0,0,0,0,0,69
ANDHRA PRADESH,NALGONDA,2004,3,25,14,0,0,0,0,0,0,0,0,42
ANDHRA PRADESH,NALGONDA,2005,0,33,31,0,0,9,0,0,0,0,0,73
ANDHRA PRADESH,NALGONDA,2006,0,42,53,0,0,5,0,0,0,3,0,103
ANDHRA PRADESH,NALGONDA,2007,0,46,65,0,0,8,0,0,0,4,0,123
ANDHRA PRADESH,NALGONDA,2008,0,57,27,1,0,8,0,0,0,0,0,93
ANDHRA PRADESH,NALGONDA,2009,0,45,62,2,0,3,0,0,0,0,0,112
ANDHRA PRADESH,NALGONDA,2010,0,44,60,0,0,1,0,0,0,0,0,105
ANDHRA PRADESH,NALGONDA,2011,1,33,51,1,0,3,0,0,0,1,2,92
ANDHRA PRADESH,NALGONDA,2012,0,35,54,0,0,3,0,0,0,1,0,93
ANDHRA PRADESH,NALGONDA,2013,1,53,70,2,0,1,0,0,0,3,0,130
ANDHRA PRADESH,NELLORE,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,2003,0,5,0,0,3,0,0,0,0,0,11,19
ANDHRA PRADESH,NELLORE,2004,2,7,3,0,0,0,10,0,0,0,9,31
ANDHRA PRADESH,NELLORE,2005,3,0,0,1,0,0,29,0,0,0,0,33
ANDHRA PRADESH,NELLORE,2006,1,18,6,0,1,0,27,0,0,0,125,178
ANDHRA PRADESH,NELLORE,2007,5,17,12,0,0,0,27,0,0,0,138,199
ANDHRA PRADESH,NELLORE,2008,1,13,13,0,0,4,28,0,0,0,101,160
ANDHRA PRADESH,NELLORE,2009,1,13,20,0,2,9,24,0,0,0,90,159
ANDHRA PRADESH,NELLORE,2010,1,14,19,0,0,8,29,0,1,0,107,179
ANDHRA PRADESH,NELLORE,2011,2,10,22,0,0,2,24,0,0,0,96,156
ANDHRA PRADESH,NELLORE,2012,6,11,46,0,0,2,2,0,2,2,35,106
ANDHRA PRADESH,NELLORE,2013,4,13,61,0,1,3,0,0,0,0,55,137
ANDHRA PRADESH,NIZAMABAD,2001,3,3,6,0,1,0,0,0,0,2,39,54
ANDHRA PRADESH,NIZAMABAD,2002,3,10,5,0,1,5,0,0,0,0,15,39
ANDHRA PRADESH,NIZAMABAD,2003,2,4,7,0,0,0,0,0,0,0,9,22
ANDHRA PRADESH,NIZAMABAD,2004,3,4,7,0,0,0,0,0,0,0,1,15
ANDHRA PRADESH,NIZAMABAD,2005,6,8,4,0,0,11,0,0,0,0,0,29
ANDHRA PRADESH,NIZAMABAD,2006,0,9,6,0,0,4,0,2,0,0,0,21
ANDHRA PRADESH,NIZAMABAD,2007,3,2,7,0,0,2,2,0,0,0,11,27
ANDHRA PRADESH,NIZAMABAD,2008,2,2,3,0,0,0,5,0,0,0,4,16
ANDHRA PRADESH,NIZAMABAD,2009,2,3,10,0,0,0,1,0,0,0,3,19
ANDHRA PRADESH,NIZAMABAD,2010,2,13,15,0,0,1,2,0,0,0,4,37
ANDHRA PRADESH,NIZAMABAD,2011,5,24,27,0,0,1,6,0,0,0,8,71
ANDHRA PRADESH,NIZAMABAD,2012,4,6,7,0,0,1,3,0,0,0,12,33
ANDHRA PRADESH,NIZAMABAD,2013,6,24,9,2,0,5,6,0,0,2,11,65
ANDHRA PRADESH,PRAKASHAM,2001,0,3,0,0,0,0,0,0,0,0,0,3
ANDHRA PRADESH,PRAKASHAM,2002,0,1,0,0,0,0,0,0,0,0,0,1
ANDHRA PRADESH,PRAKASHAM,2003,1,14,0,0,0,0,21,0,0,0,0,36
ANDHRA PRADESH,PRAKASHAM,2004,4,1,1,0,0,0,0,0,0,0,0,6
ANDHRA PRADESH,PRAKASHAM,2005,2,2,3,0,0,0,0,0,0,0,0,7
ANDHRA PRADESH,PRAKASHAM,2006,0,5,5,0,0,1,0,0,0,0,5,16
ANDHRA PRADESH,PRAKASHAM,2007,4,8,4,0,0,0,1,0,0,0,4,21
ANDHRA PRADESH,PRAKASHAM,2008,3,3,0,0,0,0,7,0,0,2,8,23
ANDHRA PRADESH,PRAKASHAM,2009,1,10,4,0,0,0,1,0,0,0,12,28
